event,flag,grp,dev_only,eval_only,both,z_eval_excess
bhp_fold_Yworse,gmax_16,tight,0,0,0,0.0
bhp_fold_Yworse,gmax_25,sym,0,0,0,0.0
bhp_fold_Yworse,gmax_25,tight,0,0,0,0.0
bhp_fold_Yworse,gmax_40,sym,0,0,0,0.0
bhp_fold_Yworse,gmax_40,tight,0,0,0,0.0
bhp_fold_Yworse,deficit_10,sym,16,17,0,0.17
bhp_fold_Yworse,deficit_10,tight,3,2,0,-0.45
bhp_fold_Yworse,deficit_16,sym,1,0,0,-1.0
bhp_fold_Yworse,deficit_16,tight,0,0,0,0.0
bhp_fold_Yworse,deficit_25,sym,0,0,0,0.0
bhp_fold_Yworse,deficit_25,tight,0,0,0,0.0
pf_enter_afterY,dirtop_G6,sym,98,93,0,-0.36
pf_enter_afterY,dirtop_G6,tight,24,19,0,-0.76
pf_enter_afterY,dirtop_G10,sym,6,3,0,-1.0
pf_enter_afterY,dirtop_G10,tight,0,1,0,1.0
pf_enter_afterY,dirtop_G16,sym,0,0,0,0.0
pf_enter_afterY,dirtop_G16,tight,0,0,0,0.0
pf_enter_afterY,dirtop_G25,sym,0,0,0,0.0
pf_enter_afterY,dirtop_G25,tight,0,0,0,0.0
pf_enter_afterY,symtop_G3,sym,1,6,0,1.89
pf_enter_afterY,symtop_G3,tight,0,2,0,1.41
pf_enter_afterY,symtop_G6,sym,0,1,0,1.0
pf_enter_afterY,symtop_G6,tight,0,0,0,0.0
pf_enter_afterY,symtop_G10,sym,0,0,0,0.0
pf_enter_afterY,symtop_G10,tight,0,0,0,0.0
pf_enter_afterY,gmax_16,sym,0,0,0,0.0
pf_enter_afterY,gmax_16,tight,0,0,0,0.0
pf_enter_afterY,gmax_25,sym,0,0,0,0.0
pf_enter_afterY,gmax_25,tight,0,0,0,0.0
pf_enter_afterY,gmax_40,sym,0,0,0,0.0
pf_enter_afterY,gmax_40,tight,0,0,0,0.0
pf_enter_afterY,deficit_10,sym,39,46,0,0.76
pf_enter_afterY,deficit_10,tight,3,7,0,1.26
pf_enter_afterY,deficit_16,sym,0,0,0,0.0
pf_enter_afterY,deficit_16,tight,0,0,0,0.0
pf_enter_afterY,deficit_25,sym,0,0,0,0.0
pf_enter_afterY,deficit_25,tight,0,0,0,0.0
pf_limpbehind,dirtop_G6,sym,205,204,0,-0.05
pf_limpbehind,dirtop_G6,tight,39,36,0,-0.35
pf_limpbehind,dirtop_G10,sym,18,20,0,0.32
pf_limpbehind,dirtop_G10,tight,2,3,0,0.45
pf_limpbehind,dirtop_G16,sym,1,2,0,0.58
